A+A,Médecin,TOPOR PETRE,09/07/2012,09/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BELARBI NACER DINE,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GOURDEL ALAIN,04/07/2013,04/07/2013 -,Formation,,
ASTRAZENECA,Médecin,GOURDEL ALAIN,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GOURDEL ALAIN,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GOURDEL ALAIN,28/08/2013,28/08/2013 -,Formation,,
ASTRAZENECA,Médecin,NOLLET GRAUWIN VIRGINIE,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,QUENTIN GILLES,27/11/2013,27/11/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,PINGUET PHILIPPE,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
GIBAUD,Pharmacien,LENEGRE Arthur,29/04/2014,23/01/2014 -,Formation,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,11/09/2013,03/10/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,07/10/2013,07/11/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,04/03/2014,08/04/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,03/02/2014,06/03/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,25/02/2014,06/03/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,07/10/2013,07/11/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,11/09/2013,03/10/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,25/02/2014,06/03/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,04/03/2014,08/04/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LENEGRE PHIE LENEGRE,05/11/2013,08/01/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
