A+A,Médecin,PEBERNARD JACQUES,27/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DROUHIN BATTIN HELENE,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LAGUILLIER PHILIPPE,25/02/2014,25/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LAGUILLIER PHILIPPE,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LAGUILLIER PHILIPPE,04/07/2013,04/07/2013 -,Formation,,
Becton Dickinson France SAS,Infirmier,STEVANT NOLWENN,06/02/2014,06/02/2014 -,FORMATION,,
BOIRON,Médecin,MORY CLAUDE,20/02/2014,20/02/2014 -,[FORMATION],,
BOIRON,Médecin,MORY CLAUDE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Médecin,MORY CLAUDE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Médecin,MORY CLAUDE,26/06/2014,26/06/2014 -,[FORMATION],,
BOIRON,Pharmacien,BARTHE FRANCOISE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,BESSER BENEDICTE,26/11/2013,26/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,BESSER BENEDICTE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,COSTAS REBECA,26/11/2013,26/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,GIORELLO EVELYNE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,JUGE NATHALIE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,JUGE SIAUD NATHALIE,26/11/2013,26/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,KERDRANVAT KARINE,26/11/2013,26/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,POTABES CLAIRE,26/11/2013,26/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRIEU FREDERIQUE,26/11/2013,26/11/2013 -,[FORMATION],,
