ASTRAZENECA,Médecin,FILHOUSE MARIE HELENE,13/03/2014,13/03/2014 -,Formation,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE RAYNAL,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
MSD France,Médecin,FILHOUSE MARIE HELENE,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FILHOUSE MARIE HELENE,16/10/2013,16/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FILHOUSE MARIE HELENE,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FILHOUSE MARIE HELENE,16/10/2013,16/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,RAYNAL LIONEL,20/05/2014,20/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MUNDIPHARMA,Médecin,FILHOUSE MARIE HELENE,06/03/2014,06/03/2014 -,AUTRE: CONVENTION D'HOSPITALITE,,
ROCHE SAS,Médecin,FILHOUSE MARIE HELENE,19/09/2013,03/10/2013 - 03/10/2013,Autre : [ Réunion professionnelle ],,
ROCHE SAS,Médecin,FILHOUSE MARIE HELENE,09/01/2014,09/01/2014 - 09/01/2014,Autre : [ R‚union professionnelle ],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BRESSOLS / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BRESSOLS / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BRESSOLS / SARL,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BRESSOLS / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,BANZATO SEVERINE,12/05/2014,12/05/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,BANZATO SEVERINE,07/03/2014,07/03/2014 -,AUTRE: [ETUDE DE MARCHE],,
Zambon France,Médecin,CABRIT CHRISTOPHE,24/04/2014,24/04/2014 - 24/04/2014,Autre : [ Hospitalité ],,
