A+A,Médecin,MAILLARD SYLVIE,28/12/2012,28/12/2012 -,ETUDE DE MARCHE,,
ALK-Abelló,Médecin,VERGES KOMPE JOSIANE,14/05/2014,14/05/2014 - 14/05/2014,Autre : RÃ©union scientifique,,
ALK-Abelló,Médecin,VERGES KOMPE JOSIANE,14/05/2014,14/05/2014 - 14/05/2014,Autre : RÃ©union scientifique,,
ASTRAZENECA,Etudiant,VIDELAINE SEBASTIEN,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,ESCUDERO VALERIE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,ICHOUC MAITE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MAILLARD SYLVIE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MAURIOS MARCEROU CLAUDINE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,SEGONNE PASCALE,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,TORRES ABELLO ADINA,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,TORRES ABELLO ADINA,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,TORRES ABELLO ADINA,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,TORRES ABELLO ADINA,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,TORRES ABELLO ADINA,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,TORRES ABELLO ADINA,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,TORRES ABELLO ADINA,15/04/2014,15/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,BOURDIN PHILIPPE,19/03/2014,19/03/2014 - 21/03/2014,Invitation à un congrès,,
Bayer HealthCare SAS,Médecin,MAILLARD SYLVIE,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,NAVAUX MARGARETT,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,MAILLARD SYLVIE,16/01/2014,16/01/2014 - 16/01/2014,Autre : [hospitalité],,
