A+A,Médecin,POSOCCO REGIS,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DE FONDS MONTMAUR BERNARD,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBROCQ RICHARD,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBROCQ RICHARD,24/10/2013,24/10/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,POSOCCO REGIS,05/06/2014,05/06/2014 - 05/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,DE OLIVEIRA VERONIQUE,20/11/2013,20/11/2013 -,[FORMATION],,
CHIESI SA,Médecin,DUBROCQ RICHARD,19/11/2013,19/11/2013 - 19/11/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,DE FONDS MONTMAUR BERNARD,12/10/2013,12/10/2013 - 13/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,POSOCCO REGIS,14/01/2013,14/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
GIBAUD,Pharmacien,DE OLIVEIRA VERONIQUE,17/04/2014,23/01/2014 -,Formation,,
GIBAUD,Pharmacien,PINEL MARTINE,17/04/2014,23/01/2014 -,Formation,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DE OLIVEIRA-VIDAL,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DE OLIVEIRA-VIDAL,01/01/2014,01/01/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DE OLIVEIRA-VIDAL,01/11/2013,01/11/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DE OLIVEIRA-VIDAL,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DE OLIVEIRA-VIDAL,01/09/2013,01/09/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DE OLIVEIRA-VIDAL,01/07/2013,01/07/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DE OLIVEIRA-VIDAL,01/10/2013,01/10/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,POSOCCO REGIS,18/01/2014,27/01/2014 - 27/01/2015,AUTRE : Recherche épidémiologique,,
LEO Pharma,Médecin,POSOCCO REGIS,15/02/2013,15/02/2013 - 31/08/2014,Recherche,,
