A+A,Pharmacien,TORRET FREDERIC,16/05/2013,15/05/2013 -,ETUDE DE MARCHE,,
Laboratoires Grünenthal SAS,Médecin,HEITZMANN JEAN BAPTISTE,02/10/2013,02/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,NOINSKI HERVE,02/10/2013,02/10/2013 -,AUTRE,,
MSD France,Médecin,DAGARD CHRISTINE,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DAGARD PHILIPPE,22/11/2012,22/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DAGARD PHILIPPE,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DAGARD PHILIPPE,21/11/2013,21/11/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GALLITRE GILLES,22/11/2012,22/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GALLITRE GILLES,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HEITZMANN JEAN BAPTISTE,21/11/2013,21/11/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HEITZMANN JEAN BAPTISTE,22/11/2012,22/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HEITZMANN JEAN BAPTISTE,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,NOINSKI HERVE,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,NOINSKI HERVE,22/11/2012,22/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,NOINSKI HERVE,21/11/2013,21/11/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,NOINSKI HERVE,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Infirmier,GIBARD CECILE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Infirmier,JOUANNY JULIE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Infirmier,MARTINS VEIGA MARTINE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,DAGARD CHRISTINE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Réunion],,
