A+A,Médecin,DENIS SYLVIE,17/01/2013,17/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DEMOL BERNARD,24/02/2014,24/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DEMOL BERNARD,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ROBIN JEAN MARC,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ROSIAU DORIX,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ROSIAU DORIX,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VERBIESE GUY,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VERBIESE GUY,21/11/2013,21/11/2013 -,Formation,,
Audika Groupe SA,Médecin,GIORDANO JULIE,19/12/2013,30/01/2014 - 01/02/2014,CONGRES,,
BOIRON,Autres types de personne morale,PHARMACIE MAIRESSE,24/08/2013,24/08/2013 -,[RECHERCHE],,
CHIESI SA,Médecin,ROSIAU DORIX,03/04/2014,03/04/2014 - 03/04/2014,Autre : HOSPITALITE RP,,
CRISTALENS SA,Médecin,PEUGNET Fréderic,23/04/2014,10/05/2014 - 11/05/2014,Hébergement,,
FERRING SAS,Médecin,DEREGNAUCOURT GUY,14/11/2013,14/11/2013 - 15/11/2013,Congrès / symposium,,
FERRING SAS,Médecin,DEREGNAUCOURT GUY,14/11/2013,14/11/2013 - 16/11/2013,Congrès / symposium,,
GIBAUD,Masseur-kinésithérapeute,LEFRANC REMY,13/03/2014,20/01/2014 -,Formation,,
GIBAUD,Pharmacien,BRAME EMILIE,13/03/2014,23/01/2014 -,Formation,,
GIBAUD,Pharmacien,MAIRESSE JACQUELINE,13/03/2014,23/01/2014 -,Formation,,
JANSSEN-CILAG,Médecin,LEROY PHILIPPE,15/04/2014,15/04/2014 - 15/04/2014,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELMOTTE JEAN,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELMOTTE JEAN,02/12/2013,02/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
