A+A,Médecin,HADJ SLIMANE NAHIDA,17/12/2013,17/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,HADJ SLIMANE NAHIDA,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,HADJ SLIMANE NAHIDA,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,HADJ SLIMANE NAHIDA,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HADJ SLIMANE NAHIDA,04/04/2014,04/04/2014 -,Congrès/Symposium,,
ASTRAZENECA,Médecin,HADJ SLIMANE NAHIDA,03/04/2014,03/04/2014 -,Formation,,
JANSSEN-CILAG,Infirmier,DEBATTISTA ANNE MARIE,02/07/2013,02/07/2013 - 02/07/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Infirmier,GUIDEZ RENEE,02/07/2013,02/07/2013 - 02/07/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Infirmier,MALESIEUX ANNE,02/07/2013,02/07/2013 - 02/07/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,HADJ SLIMANE NAHIDA,02/07/2013,02/07/2013 - 02/07/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,HADJ SLIMANE NAHIDA,17/06/2014,17/06/2014 - 20/06/2014,CONGRES / SYMPOSIUM,,
LOL PHARMA,Pharmacien,FEROC ET DIASINOS FEROC ET DIASINOS,27/07/2013,01/08/2013 -,CONTRAT DE PRESTATION DE SERVICE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE ST SOUPPLET / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE ST SOUPPLET / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE ST SOUPPLET / SELARL,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,GONZALEZ ERIC,17/10/2013,17/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
