3M France,Chirurgien-dentiste,DEMONET ANNE,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Pharmacien,BALLET LAURENCE,10/02/2014,04/02/2014 -,ETUDE DE MARCHE,,
A+A,Pharmacien,BALLET LAURENCE,24/05/2013,23/05/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,BALLET LAURENCE,25/06/2013,24/06/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,PANTEA DORIN,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,PANTEA DORIN,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PASTEL ELISABETH,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,PASTEL ELISABETH,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PASTEL ELISABETH,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,PASTEL ELISABETH,17/09/2013,17/09/2013 -,Formation,,
Becton Dickinson France SAS,Pharmacien,DELPON NICOLAS,19/11/2013,19/11/2013 -,FORMATION,,
BOIRON,Pharmacien,BALLET LAURENCE,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,PONCE AMANDINE,18/04/2014,18/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,RADIGUET ANNE,18/04/2014,18/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,TOUCHANT-PONCE AMANDINE,08/11/2013,08/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BECHU CATHERINE,18/04/2014,18/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PARMANTIER CATHERINE,08/11/2013,08/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RADIELLET ANNE,08/11/2013,08/11/2013 -,[FORMATION],,
LABORATOIRES MAYOLY SPINDLER,Médecin,COCHAUD Daniel,20/02/2014,20/02/2014 -,Conseil Relations professionnelles,,
Lilly France SAS,Médecin,PARMENTIER DANIEL,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
