A+A,Médecin,DENEUX DOROTHÉE,31/07/2013,30/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BRIAT LAGACHE ISABELLE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BRIAT LAGACHE ISABELLE,20/11/2013,20/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DENEUX LINEATTE DOROTHEE,20/11/2013,20/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DENEUX LINEATTE DOROTHEE,16/01/2014,16/01/2014 -,Formation,,
IPSEN PHARMA,Médecin,BRIAT LAGACHE ISABELLE,20/02/2014,20/02/2014 - 20/02/2014,CONVENTION D'HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRIAT LAGACHE ISABELLE,21/11/2013,21/11/2013 - 21/11/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENEUX LINEATTE DOROTHEE,21/11/2013,21/11/2013 - 21/11/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENEUX LINEATTE DOROTHEE,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,BRIAT-LAGACHE ISABELLE,15/11/2013,15/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BRIAT-LAGACHE ISABELLE,17/10/2013,17/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DENEUX-LINEATTE DOROTHEE,15/11/2013,15/11/2013 -,Autre : Manifestation scientifique,,
SANOFI AVENTIS FRANCE,Médecin,DENEUX LINEATTE DOROTHEE,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Réunion],,
