A+A,Pharmacien,HAMON BRIGITTE,22/02/2012,20/02/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,VANDANGEON JACQUES,07/01/2014,07/01/2014 -,Formation,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HOUSTY MARTINE,08/04/2014,08/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VERSILLER CELINE,08/04/2014,08/04/2014 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEBRUN MICHEL,10/09/2013,10/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROTARU LAURA,25/02/2014,25/02/2014 - 25/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANDANGEON JACQUES,25/02/2014,25/02/2014 - 25/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANDANGEON JACQUES,19/09/2013,19/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES URGO,Infirmier,DEFOIS SYLVIE,24/09/2013,24/09/2013 -,HOSPITALITE,,
LES LABORATOIRES SERVIER,Médecin,LEBRUN MICHEL,05/04/2014,05/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MSD France,Médecin,LEBRUN MICHEL,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEBRUN MICHEL,24/04/2013,24/04/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEBRUN MICHEL,04/06/2014,04/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEBRUN MICHEL,06/06/2012,06/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,PINEAU BERNARD,25/06/2013,25/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PINEAU BERNARD,25/06/2013,25/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PINEAU BERNARD,03/06/2014,03/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,RILLARD STEPHANE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,RILLARD STEPHANE,24/04/2013,24/04/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,RILLARD STEPHANE,06/06/2012,06/06/2012 -,CONVENTION D HOSPITALITE,,
