A+A,Médecin,GLEYE VINCENT,07/02/2012,02/02/2012 -,ETUDE DE MARCHE,,
MSD France,Médecin,GLEYE VINCENT,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MENAHEM ALAIN,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,GLEYE VINCENT,16/04/2014,16/04/2014 - 16/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,GLEYE VINCENT,29/03/2014,29/03/2014 - 29/03/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,GLEYE VINCENT,29/03/2014,29/03/2014 - 29/03/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MENAHEM ALAIN,29/03/2014,29/03/2014 - 29/03/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MENAHEM ALAIN,29/03/2014,29/03/2014 - 29/03/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE BENARD,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BENARD,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CLOUARD,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CLOUARD,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
