All Global,Médecin,Gauvrit Isabelle,28/05/2014,28/05/2014 -,[Marketing],,
BOIRON,Pharmacien,THIEBAUT CHRISTOPHE,14/11/2013,14/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTIN VIOLAINE,14/11/2013,14/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VIAUD ARLETTE,14/11/2013,14/11/2013 -,[FORMATION],,
LOL PHARMA,Pharmacien,DRAPEAU CHRISTOPHE DRAPEAU CHRISTOPHE,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DRAPEAU CHRISTOPHE DRAPEAU CHRISTOPHE,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DRAPEAU CHRISTOPHE DRAPEAU CHRISTOPHE,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DRAPEAU CHRISTOPHE DRAPEAU CHRISTOPHE,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
PASCALEO,Médecin,BEAUPERIN YVES,21/05/2014,21/05/2014 -,AUTRE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU PORT,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU PORT,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU PORT,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU PORT,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE THIEBAUT DUSSEUX / SNC,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
VEXIM SA,Médecin,BEAUPERIN YVES,13/01/2014,17/02/2014 - 31/12/2014,FORMATION,,
VEXIM SA,Médecin,CARASSOU-MAILLAN MICHEL,13/01/2014,17/02/2014 - 31/12/2014,FORMATION,,
