A+A,Pharmacien,MECHAIN VINCENT,22/06/2012,25/06/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,ABOUCHAR ABEL,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ABOUCHAR ABEL,09/10/2013,09/10/2013 -,Formation,,
ASTRAZENECA,Médecin,ABOUCHAR ABEL,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DE COURREGES ARNAUD,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DE COURREGES ARNAUD,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,STAN FLORENTIN,09/10/2013,09/10/2013 -,Formation,,
ASTRAZENECA,Pharmacien,MECHAIN VINCENT,09/10/2013,09/10/2013 -,Formation,,
B.BRAUN MEDICAL SAS,Médecin,ABOUCHAR ABEL,21/01/2014,21/01/2014 -,AUTRE [HOSPITALITE],,
BOEHRINGER INGELHEIM FRANCE,Médecin,ABOUCHAR ABEL,24/09/2013,24/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ABOUCHAR ABEL,17/10/2013,17/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,LABAU CHANTAL,19/11/2013,19/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUTET CELINE,19/11/2013,19/11/2013 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,ABOUCHAR ABEL,22/01/2013,22/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
Genactis SAS,Médecin,Abouchar Abel,25/05/2013,30/04/2013 - 10/06/2013,Autre: Collaboration pour une Etude de Marché,,
Genactis SAS,Médecin,Abouchar Abel,11/02/2012,26/01/2012 - 19/02/2012,Autre: Collaboration pour une Etude de Marché,,
Genactis SAS,Médecin,Abouchar Abel,18/02/2012,09/02/2012 - 12/03/2012,Autre: Collaboration pour une Etude de Marché,,
Genactis SAS,Médecin,Abouchar Abel,20/10/2013,20/10/2013 - 20/10/2013,Autre: Collaboration pour une Etude de Marché,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,MECHAIN VINCENT,31/07/2013,31/07/2013 - 29/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,MECHAIN VINCENT,31/07/2013,31/07/2013 - 29/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
