ASTRAZENECA,Médecin,SAMPIERI JEAN MARC,23/04/2014,23/04/2014 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MORCHED ZADEH PAUL,21/11/2013,21/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,SAMPIERI JEAN MARC,27/11/2013,27/11/2013 - 27/11/2013,Autre : HOSPITALITE RP,,
MSD France,Médecin,MORCHED ZADEH PAUL,20/11/2012,20/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MORCHED ZADEH PAUL,26/04/2012,26/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MORCHED ZADEH PAUL,09/04/2013,09/04/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MORCHED ZADEH PAUL,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SAMPIERI JEAN MARC,20/11/2012,20/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SAMPIERI JEAN MARC,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
WorldOne Group B.V.,Médecin,MORCHED ZADEH PAUL,04/04/2014,04/04/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,MORCHED ZADEH PAUL,21/03/2014,21/03/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,MORCHED ZADEH PAUL,12/11/2013,12/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,MORCHED ZADEH PAUL,15/11/2013,15/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,MORCHED ZADEH PAUL,06/03/2014,06/03/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,MORCHED ZADEH PAUL,22/04/2014,22/04/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,MORCHED ZADEH PAUL,02/01/2014,02/01/2014 -,AUTRE: [ETUDE DE MARCHE],,
