ASTRAZENECA,Médecin,CHIRITESCU CRISAN NICOLETA,01/04/2014,01/04/2014 -,Formation,,
LES LABORATOIRES SERVIER,Médecin,DANANCHER THIERRY,09/10/2013,09/10/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,DANANCHER THIERRY,05/04/2014,05/04/2014 - 06/04/2014,Autre : Réunion scientifique,,
MSD France,Médecin,CHIRITESCU CRISAN NICOLETA,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHIRITESCU CRISAN NICOLETA,10/10/2013,10/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHIRITESCU CRISAN NICOLETA,19/06/2014,19/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHIRITESCU CRISAN NICOLETA,20/06/2013,20/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHIRITESCU CRISAN NICOLETA,20/06/2013,20/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,COCK CHANTAL,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,COCK CHANTAL,20/06/2013,20/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,COCK CHANTAL,20/06/2013,20/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,COCK CHANTAL,19/06/2014,19/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,COCK CHANTAL,14/04/2012,14/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,COCK CHANTAL,04/10/2012,04/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,COCK CHANTAL,24/05/2012,24/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,COCK CHANTAL,12/04/2012,12/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,COCK CHANTAL,10/10/2013,10/10/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DANANCHER THIERRY,17/04/2014,17/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DANANCHER THIERRY,24/05/2012,24/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DANANCHER THIERRY,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
