A+A,Médecin,VETU MICHEL,29/03/2012,27/03/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Riquet Hervé,15/02/2014,15/02/2014 -,[Marketing],,
All Global,Médecin,Riquet Hervé,11/01/2014,11/01/2014 -,[Marketing],,
All Global,Médecin,Riquet Hervé,22/10/2013,22/10/2013 -,[Marketing],,
All Global,Médecin,Riquet Hervé,14/01/2014,14/01/2014 -,[Marketing],,
AMPLITUDE,Médecin,bussiere CHRISTOPHE,06/03/2014,11/04/2014 - 11/04/2014,CONSEIL,,
AMPLITUDE,Médecin,bussiere CHRISTOPHE,12/12/2013,17/01/2014 - 17/01/2014,CONSEIL,,
AMPLITUDE,Médecin,BUSSIERE CHRISTOPHE,12/09/2013,18/10/2013 -,CONSEIL,,
AMPLITUDE,Médecin,CHEVILOTTE CHRISTOPHE,17/12/2013,24/01/2014 -,CONSEIL,,
AMPLITUDE,Médecin,CHEVILOTTE CHRISTOPHE,30/07/2013,18/09/2013 -,CONSEIL,,
AMPLITUDE,Médecin,CHEVILOTTE CHRISTOPHE,26/09/2013,11/11/2013 - 15/11/2013,CONGRES,,
AMPLITUDE,Médecin,CHEVILOTTE CHRISTOPHE,16/10/2013,27/11/2013 -,CONSEIL,,
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,Médecin,DEROCHE PHILIPPE,28/08/2013,28/08/2013 -,Convention d'Hospitalité,,
ASTRAZENECA,Médecin,ANDRIOT ARNAUD,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,ANDRIOT ARNAUD,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DAGUZAN MYRIAM,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FERNANDEZ Catherine,18/10/2013,18/10/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,FERNANDEZ Christian,18/10/2013,18/10/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,VERNOCHET GERARD,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VERNOCHET GERARD,15/05/2014,15/05/2014 -,Formation,,
