ASTRAZENECA,Médecin,HORAT MARIE PAULE,23/10/2013,23/10/2013 -,Formation,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,21/03/2012,01/02/2013 - 31/12/2013,CONSEIL,,
BIOGARAN,Pharmacien,BAUDIN BLANDINE,09/01/2014,01/01/2014 - 31/12/2014,CONSEIL,,
BOIRON,Médecin,PARISOT JOEL,11/06/2014,11/06/2014 -,[FORMATION],,
BOIRON,Médecin,PARISOT JOEL,03/07/2013,03/07/2013 -,[FORMATION],,
BOIRON,Pharmacien,REGEAS ANNE-CLAIRE,28/11/2013,28/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BALLIGAND NADEGE,28/11/2013,28/11/2013 -,[FORMATION],,
SANOFI AVENTIS FRANCE,Médecin,HORAT MARIE PAULE,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,HORAT MARIE PAULE,07/11/2013,07/11/2013 - 07/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,JACQUET BAH AISSATOU,07/11/2013,07/11/2013 - 07/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,JACQUET BAH AISSATOU,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,JANDA DANIEL,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,JANDA DANIEL,07/11/2013,07/11/2013 - 07/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,MARTIN STEPHANE,07/11/2013,07/11/2013 - 07/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,MARTIN STEPHANE,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,PARISOT JOEL,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,PARISOT JOEL,07/11/2013,07/11/2013 - 07/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,VITTORI ERIC,07/11/2013,07/11/2013 - 07/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,VITTORI ERIC,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE BAUDIN / SELARL,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
