B3TSI,Médecin,PATRU JEAN MICHEL,16/06/2014,16/06/2014 -,autre : enquête téléphonique,,
Bayer HealthCare SAS,Médecin,BORNAREL ANNE MARIE,18/09/2013,18/09/2013 - 18/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BORNAREL MICHEL,18/09/2013,18/09/2013 - 18/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DUIGOU GAUTHERON MARTINE,18/09/2013,18/09/2013 - 18/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
CHIESI SA,Médecin,BORNAREL ANNE MARIE,20/09/2013,20/09/2013 - 20/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,BORNAREL MICHEL,20/09/2013,20/09/2013 - 20/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,GADIOLLET JEAN YVES,20/09/2013,20/09/2013 - 20/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,GADIOLLET JEAN YVES,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,JANIN MANIFICAT PIERRE,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,JANIN MANIFICAT PIERRE,20/09/2013,20/09/2013 - 20/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PATRU JEAN MICHEL,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PATRU JEAN MICHEL,20/09/2013,20/09/2013 - 20/09/2013,Autre : HOSPITALITE RP,,
JANSSEN-CILAG,Médecin,STOICA CAMELIA,21/03/2013,21/03/2013 - 21/03/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,STOICA CAMELIA,13/06/2013,13/06/2013 - 13/06/2013,CONGRES / SYMPOSIUM,,
LES LABORATOIRES SERVIER,Médecin,BORNAREL MICHEL,30/01/2014,30/01/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,PATRU JEAN MICHEL,30/01/2014,30/01/2014 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,BORNAREL ANNE MARIE,18/06/2014,18/06/2014 - 18/06/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,BORNAREL MICHEL,18/06/2014,18/06/2014 - 18/06/2014,Autre : Réunion scientifique,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU BOURG / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU BOURG / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
