3M France,Chirurgien-dentiste,RASPUS REMY,02/12/2013,02/12/2013 -,FORMATION,,
A+A,Médecin,FINESCHI PAUL,07/06/2012,07/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FINESCHI PAUL,13/07/2012,12/07/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,RAMBAUD LE BIHAN ANNE,10/06/2014,10/06/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
All Global,Médecin,Rodriguez Chantal,25/04/2014,25/04/2014 -,[Marketing],,
All Global,Médecin,Rodriguez Chantal,17/06/2014,17/06/2014 -,[Marketing],,
ASTRAZENECA,Médecin,ANDREANI J JACQUES,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BORONAD PAUL,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CRUVELLIER THIERRY,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,RAMBAUD LE BIHAN ANNE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,SIDER LEONETTI MICHELINE REINE,10/04/2014,10/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,RAMBAUD LE BIHAN ANNE,05/12/2013,05/12/2013 - 05/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,CHARRIER FLORENCE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,LAPLANE DANIELE,05/06/2014,05/06/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BELIGAUD MYRIAM,17/10/2013,17/10/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GROS STEPHANIE,17/10/2013,17/10/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOURDAN MICHELE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOURDAN MICHELLE,17/10/2013,17/10/2013 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,RAMBAUD LE BIHAN ANNE,12/10/2013,12/10/2013 - 13/10/2013,Autre : [ hospitalité ],,
EFFIK,Médecin,LECAT LEONARDI RAPHAELE,24/04/2014,24/04/2014 - 24/04/2014,HOSPITALITE,,
