LABORATOIRES MAYOLY SPINDLER,Médecin,SOURD JEAN PHILIPPE,30/05/2014,30/05/2014 -,Conseil Relations professionnelles,,
MENARINI FRANCE,Médecin,SOURD JEAN PHILIPPE,30/01/2014,30/01/2014 - 30/01/2014,Autre : Réunion scientifique,,
MSD France,Médecin,GUIOMAR BRUNO,14/06/2012,14/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GUIOMAR BRUNO,07/11/2013,07/11/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GUIOMAR BRUNO,29/05/2013,29/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GUIOMAR BRUNO,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LHERBETTE ALAIN,29/05/2013,29/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SOURD JEAN PHILIPPE,14/06/2012,14/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SOURD JEAN PHILIPPE,29/05/2013,29/05/2013 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SALMON LE POLODEC / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SALMON LE POLODEC / SNC,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SALMON LE POLODEC / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SALMON LE POLODEC / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
