AbbVie,Médecin,BOURDELOIE MARION,29/01/2014,29/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,GABAUDE ANNIE,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MARTINEZ MICHEL,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MARTINEZ MICHEL,29/01/2014,29/01/2014 -,Formation,,
ASTRAZENECA,Médecin,PRO ALAIN,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PRO ALAIN,13/02/2014,13/02/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,PRO ALAIN,19/09/2013,19/09/2013 - 19/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Médecin,MONASSIER HOOGSTOEL ANNE,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GABAUDE ANNIE,26/11/2013,26/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GABAUDE ANNIE,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GABAUDE ANNIE,26/09/2013,26/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTINEZ MICHEL,13/03/2013,13/03/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTINEZ MICHEL,13/03/2013,13/03/2013 -,Autre : [Convention hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTINEZ MICHEL,11/06/2013,11/06/2013 -,Autre : [Convention hospitalite],,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,HENRIC RESPLANDY MICHEL,15/04/2014,15/04/2014 - 15/10/2014,AUTRE : Recherche épidémiologique,,
Laboratoires Expanscience,Médecin,GABAUDE ANNIE,16/04/2014,16/04/2014 - 16/04/2014,Formation,,
LOL PHARMA,Pharmacien,TRILLES FRANCOIS TRILLES FRANCOIS,08/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,TRILLES FRANCOIS TRILLES FRANCOIS,08/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,GABAUDE ANNIE,26/02/2014,26/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GABAUDE ANNIE,04/07/2013,04/07/2013 -,CONVENTION D’HOSPITALITÉ,,
