Bayer HealthCare SAS,Médecin,MESLI BERTIN YASMINE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,VINCENT MARIE HELENE,24/07/2013,24/07/2013 - 22/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,VINCENT MARIE HELENE,18/11/2013,18/11/2013 - 19/05/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,VINCENT MARIE HELENE,07/08/2013,07/08/2013 - 05/02/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LES LABORATOIRES SERVIER,Médecin,HONTAREDE CLAUDE,10/10/2013,10/10/2013 -,Autre : Manifestation scientifique,,
MSD France,Médecin,HONTAREDE CLAUDE,13/11/2012,13/11/2012 -,CONVENTION D HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,MESLI BERTIN YASMINE,03/06/2014,03/06/2014 - 03/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE VINCENT,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE VINCENT,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE VINCENT,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE VINCENT,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
