A+A,Pharmacien,ANCEY LUC,09/02/2012,08/02/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DE DECKER DIDIER,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DE DECKER DIDIER,28/02/2014,28/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DELFORGE ANTOINE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PONCHANT MAURICE,28/02/2014,28/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PONCHANT MAURICE,19/11/2013,19/11/2013 -,Formation,,
BIOGEN IDEC FRANCE,Pharmacien,ANCEY CHANTAL,13/03/2014,13/03/2014 - 13/03/2014,CONVENTION D HOSPITALITE,,
LES LABORATOIRES SERVIER,Médecin,DE DECKER DIDIER,24/01/2014,24/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
MSD France,Médecin,BRAQUART MATTHIEU,23/02/2012,23/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,PONCHANT MAURICE,30/03/2012,30/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,ANCEY LUC,24/10/2012,24/10/2012 -,CONVENTION D HOSPITALITE,,
SANOFI AVENTIS FRANCE,Pharmacien,ANCEY LUC,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Réunion],,
