A+A,Médecin,JACQUENET FRANCOISE,26/03/2012,26/03/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Boulet Laurent,23/01/2014,23/01/2014 -,[Marketing],,
AMGEN SAS,Pharmacien,CHAMPION PATRICE,04/04/2013,04/04/2013 - 05/04/2013,CONGRES/SYMPOSIUM,,
ASTELLAS PHARMA,Fondation,FONDATION POUR LE DEVELOPPEMENT DES TECHNIQUES DE SUPPLEANCE DES FONCTIONS VITALES,07/03/2013,11/03/2013 - 11/06/2013,RECHERCHE,,
ASTELLAS PHARMA,Fondation,FONDATION TRANSPLANTATION,07/03/2013,07/03/2013 - 31/05/2013,CONSEIL,,
ASTRAZENECA,Médecin,JACQUENET FRANCOISE,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,JACQUENET GERARD,21/01/2014,21/01/2014 -,Formation,,
Bayer HealthCare SAS,Association professionnel de santé,EVOLUTION SAGE-FEMME,08/01/2014,20/03/2014 - 20/03/2014,Autre :Contrat de location de stand,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOULET LAURENT,19/09/2013,19/09/2013 - 19/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,JACQUENET FRANCOISE,03/10/2013,03/10/2013 - 03/10/2013,Autre : [ hospitalité ],,
Fresenius Medical Care France S.A.S.,Infirmier,MAURICE ELSA,23/05/2014,23/05/2014 -,AUTRE: [HOSPITALITE],,
Fresenius Medical Care France S.A.S.,Infirmier,MAURICE ELSA,23/05/2014,23/05/2014 -,AUTRE: [HOSPITALITE],,
Fresenius Medical Care France S.A.S.,Infirmier,MAURICE ELSA,23/05/2014,23/05/2014 -,AUTRE: [HOSPITALITE],,
Fresenius Medical Care France S.A.S.,Pharmacien,CHAMPION PATRICE,23/05/2014,23/05/2014 -,AUTRE: [HOSPITALITE],,
Fresenius Medical Care France S.A.S.,Pharmacien,CHAMPION PATRICE,23/05/2014,23/05/2014 -,AUTRE: [HOSPITALITE],,
Fresenius Medical Care France S.A.S.,Pharmacien,CHAMPION PATRICE,23/05/2014,23/05/2014 -,AUTRE: [HOSPITALITE],,
Fresenius Medical Care France S.A.S.,Pharmacien,CHAMPION PATRICE,23/05/2014,23/05/2014 -,AUTRE: [HOSPITALITE],,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SADON VALERIE,17/12/2013,17/12/2013 - 17/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SADON VALERIE,17/12/2013,17/12/2013 - 17/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SADON VALERIE,17/12/2013,17/12/2013 - 17/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
