A+A,Médecin,MESLET CLARA,10/05/2012,09/05/2012 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,LAINE JEAN NOEL,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LE ROY JEAN PIERRE,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,SAVIDAN JEAN YVES,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Médecin,LAINE JEAN NOEL,10/04/2014,10/04/2014 - 10/04/2014,Autre : [Convention d'Hospitalité],,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Médecin,LE ROY JEAN PIERRE,10/04/2014,10/04/2014 - 10/04/2014,Autre : [Convention d'Hospitalité],,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Médecin,SAVIDAN JEAN YVES,10/04/2014,10/04/2014 - 10/04/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,LAINE JEAN NOEL,26/06/2014,26/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,SAVIDAN JEAN YVES,26/06/2014,26/06/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,LAINE JEAN NOEL,26/09/2013,26/09/2013 -,Autre : Manifestation scientifique,,
MSD France,Médecin,LAINE JEAN NOEL,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LANGELIER JEAN LUC,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SAVIDAN JEAN YVES,20/04/2012,20/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SAVIDAN JEAN YVES,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,COHOREAU EMILIE,17/09/2013,17/09/2013 - 17/09/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,PATTIER BRIGITTE,17/09/2013,17/09/2013 - 17/09/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,PICHARD LUDIVINE,17/09/2013,17/09/2013 - 17/09/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,SAVIDAN JEAN YVES,25/03/2014,25/03/2014 - 25/03/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Pharmacien,RENAUD SYLVIE,17/09/2013,17/09/2013 - 17/09/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Pharmacien,TRIDON KARINE,17/09/2013,17/09/2013 - 17/09/2013,Convention d'Hospitalité,,
