A+A,Médecin,MANDEL FRANCK,25/07/2012,25/07/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Mandel Franck,08/05/2014,08/05/2014 -,[Marketing],,
All Global,Médecin,Mandel Franck,19/04/2014,19/04/2014 -,[Marketing],,
ASTRAZENECA,Médecin,GRAPIN DOMINIQUE,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,GRAPIN DOMINIQUE,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,JEAN JACQUES,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,JEAN JACQUES,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,JEAN JACQUES,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MANDEL FRANCK,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,SCHMITT LYDIE,20/02/2014,20/02/2014 -,Formation,,
B3TSI,Médecin,MANDEL FRANCK,21/06/2014,21/06/2014 -,autre : enquête téléphonique,,
DAIICHI SANKYO FRANCE SAS,Médecin,GRAPIN DOMINIQUE,06/12/2013,06/12/2013 - 07/12/2013,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,MATTER ANTOINE,21/11/2013,21/11/2013 - 21/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,SCHMITT LYDIE,06/12/2013,06/12/2013 - 07/12/2013,Autre : [hospitalité],,
EXAFIELD,Médecin,MANDEL Franck,01/01/2014,01/01/2014 -,MARKETING,,
IMS HEALTH SAS,Médecin,MANDEL Franck,28/12/2012,28/12/2012 -,autre : Etude observationnelle,,
IMS Medical Radar,Médecin,MANDEL Franck,09/09/2013,09/09/2013 - 09/09/2013,autre: ETUDE,,
IMS Medical Radar,Médecin,MANDEL FRANCK,20/06/2014,20/06/2014 - 20/06/2014,autre: ETUDE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEAN JACQUES,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEAN JACQUES,10/04/2014,10/04/2014 - 10/04/2014,Autre : [Convention d'Hospitalité],,
