KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE ALLARY,01/09/2013,01/09/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
MSD France,Médecin,MUZELLE ROLAND,22/05/2014,22/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,ALLARY GERARD,22/05/2014,22/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,ALLARY MARION,22/05/2014,22/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,CINQUIN JACQUES,22/05/2014,22/05/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,BARRAU ANNE,10/01/2014,10/01/2014 - 10/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,BARRAU ANNE,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MARTIN ARNAUD,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MARTIN ARNAUD,10/01/2014,10/01/2014 - 10/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MARTIN AURELIE,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MUZELLE ROLAND,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Communication scientifique],,
SANOFI AVENTIS FRANCE,Médecin,MUZELLE ROLAND,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MUZELLE ROLAND,10/01/2014,10/01/2014 - 10/01/2014,Autre : [Communication scientifique],,
SANOFI AVENTIS FRANCE,Médecin,MUZELLE ROLAND,10/01/2014,10/01/2014 - 10/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,THIENNAUD LAURENCE,10/01/2014,10/01/2014 - 10/01/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALLARY / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALLARY / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALLARY / SNC,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALLARY / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
