A+A,Pharmacien,OFFROY REMY,16/04/2012,16/04/2012 -,ETUDE DE MARCHE,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEYRONET CELINE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VARS VIRGINIE,17/04/2014,17/04/2014 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BICHON MONIKA,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BICHON MONIKA,04/12/2013,04/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BICHON MONIKA,19/11/2013,19/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASSON NATHALIE,19/11/2013,19/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASSON NATHALIE,04/12/2013,04/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEVAUX CEDRIC,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEVAUX CEDRIC,04/12/2013,04/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOULON STEPHANE,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOULON STEPHANE,04/12/2013,04/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOULON STEPHANE,19/11/2013,19/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOTZ MICHAELA,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUYOT SEBASTIEN,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUYOT SEBASTIEN,04/12/2013,04/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JALBERT PAUL,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JALBERT PAUL,04/12/2013,04/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JALBERT PAUL,19/11/2013,19/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASCAULT YANN,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
