A+A,Médecin,BENMOUSSA ABDELLATIF,08/11/2012,08/11/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GIRARDEAU CHRISTIAN,10/12/2013,10/12/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,GIRARDEAU CHRISTIAN,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIRARDEAU CHRISTIAN,11/04/2014,11/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIRARDEAU CHRISTIAN,26/09/2013,26/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GUILLAUMET ARNAUD,26/09/2013,26/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PUJOL HELENE,26/09/2013,26/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,DABADIE SEVERIN,19/09/2013,19/09/2013 - 19/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,GIRARDEAU CHRISTIAN,19/09/2013,19/09/2013 - 19/09/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIRARDEAU CHRISTIAN,21/11/2013,21/11/2013 - 21/11/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUILLAUMET ARNAUD,29/01/2014,29/01/2014 - 29/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VICHATZKY CLAUDIA,29/01/2014,29/01/2014 - 29/01/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,DABADIE SEVERIN,19/06/2014,19/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,GIRARDEAU CHRISTIAN,21/06/2014,21/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,GIRARDEAU CHRISTIAN,11/07/2013,11/07/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,PARMENTIER DANIEL,21/11/2013,21/11/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,GIRARDEAU CHRISTIAN,05/07/2013,05/07/2013 - 05/07/2013,INVITATION,,
MSD France,Médecin,METAIREAU FRANCOIS,10/06/2014,10/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,NOLLEAU DIDIER,26/01/2012,26/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,PARMENTIER DANIEL,26/01/2012,26/01/2012 -,CONVENTION D HOSPITALITE,,
