ASTRAZENECA,Médecin,COCKENPOT CHRISTIAN,04/07/2013,04/07/2013 -,Formation,,
ASTRAZENECA,Médecin,COCKENPOT CHRISTIAN,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,COCKENPOT CHRISTIAN,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,COCKENPOT CHRISTIAN,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Pharmacien,BRISSET XAVIER,15/11/2013,15/11/2013 -,Formation,,
Axess Research,Pharmacien,PAQUE CLAUDINE,05/06/2014,05/06/2014 - 05/06/2014,Autre : ETUDE DE MARCHE,,
BIOCODEX,Fondation,SOGIPHAR,03/02/2014,03/02/2014 - 03/02/2014,MARKETING,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEFEBVRE FRANCOIS,10/10/2013,10/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Médecin,COCKENPOT CHRISTIAN,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,COCKENPOT CHRISTIAN,05/11/2013,05/11/2013 - 05/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,GALMANT VINCENT,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,LECLERCQ XAVIER,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ hospitalité ],,
DJO France SAS,Etablissement de santé,SOGIPHAR,20/06/2012,20/06/2012 - 20/06/2012,SOIREE SOGIPHAR - CHOIX DU BON PRODUIT (cheville, genou, rachis, compression veineuse),,
DJO France SAS,Etablissement de santé,SOGIPHAR,26/06/2013,26/06/2013 - 26/06/2013,FORMATION COMPRESSION VEINEUSE ET DR COMFORT,,
DJO France SAS,Etablissement de santé,SOGIPHAR SIEGE SOCIAL,13/09/2012,13/09/2012 - 13/09/2012,NOUVELLE GAMME VEINAX, ET RECOMMANDATIONS HAS.,,
DJO France SAS,Etablissement de santé,SOGIPHAR SIEGE SOCIAL,03/04/2012,03/04/2012 - 03/04/2012,COMPRESSION VEINEUSE-Indications, caractéristiques.,,
DJO France SAS,Etablissement de santé,SOGIPHAR SIEGE SOCIAL,22/05/2012,22/05/2012 - 22/05/2012,COMPRESSION VEINEUSE-PRESENTATION ET ESSAYAGE,,
DJO France SAS,Etablissement de santé,SOGIPHAR SIEGE SOCIAL,15/03/2012,15/03/2012 - 15/03/2012,Présentation de la gamme, traumatologie des membres supérieurs et inférieurs,,
DJO France SAS,Etablissement de santé,SOGIPHAR SIEGE SOCIAL,31/01/2013,31/01/2013 - 31/01/2013,SOIREE FORMATION EPU GIPHAR 35. RECOMMANDATIONS HAS ET FORMATION ORTHOPEDIE,,
DJO France SAS,Etablissement de santé,SOGIPHAR SIEGE SOCIAL,22/11/2012,22/11/2012 - 22/11/2012,SOIREE FORMATION PATHOLOGIES DIVERSES.,,
