ASTRAZENECA,Médecin,IDBRIK FATIMA,12/03/2014,12/03/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,ALLEAU ETIENNE,14/04/2014,14/04/2014 - 14/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LAMBERT ELODIE,14/04/2014,14/04/2014 - 14/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BURRILLON,01/10/2013,01/10/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BURRILLON,01/09/2013,01/09/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BURRILLON,01/01/2014,01/01/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BURRILLON,01/11/2013,01/11/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRES CONVATEC,Infirmier,BARREAU BLANDINE,27/03/2014,27/03/2014 - 27/03/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,FAICHAUD JEROME,27/03/2014,27/03/2014 - 27/03/2014,AUTRE,,
LASER,Médecin,LAMBERT ELODIE,20/01/2013,20/01/2013 - 30/04/2014,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,LAMBERT ELODIE,19/09/2013,19/09/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,PRODIGUE NICOLE,19/09/2013,19/09/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,VAN ROOMEN PATRICIA,16/05/2014,16/05/2014 - 16/05/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MSD France,Médecin,LAMBERT ELODIE,11/06/2013,11/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAMBERT ELODIE,11/02/2014,11/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAMBERT ELODIE,11/06/2013,11/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LAMBERT ELODIE,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,ESTEVE HENRI,11/04/2014,11/04/2014 -,CONVENTION D'HOSPITALITE,,
RESAL,Médecin,LAMBERT ELODIE,20/01/2013,20/01/2013 - 30/04/2014,RECHERCHE,,
SANOFI AVENTIS FRANCE,Infirmier,GARNIER DERET MARYSE,21/11/2013,21/11/2013 - 21/11/2013,Convention d'Hospitalité,,
