A+A,Médecin,BETEND CLAUDE,16/01/2013,16/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Association professionnel de santé,F.M.C. "LE GIFFRE",04/04/2014,04/04/2014 -,Congrès/symposium,,
ASTRAZENECA,Médecin,BETEND CLAUDE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BETEND CLAUDE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BETEND CLAUDE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BETEND CLAUDE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BETEND CLAUDE,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BETEND CLAUDE,24/04/2014,24/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BETEND CLAUDE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BETEND CLAUDE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,KOOSINLIN LOUIS,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RISLER TESTARD NATHALIE,14/11/2013,14/11/2013 -,Formation,,
BIOCODEX,Médecin,BETEND CLAUDE,07/11/2013,07/11/2013 - 07/11/2013,FORMATION,,
JANSSEN-CILAG,Médecin,BETEND CLAUDE,19/12/2013,19/12/2013 - 19/12/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BETEND CLAUDE,19/11/2013,19/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES URGO,Infirmier,MARCHAND FRANCK,10/10/2013,10/10/2013 -,HOSPITALITE,,
LES LABORATOIRES SERVIER,Médecin,BETEND CLAUDE,31/01/2014,31/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BETEND CLAUDE,21/02/2014,21/02/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BETEND CLAUDE,17/04/2014,17/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BETEND CLAUDE,04/02/2014,04/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
