A+A,Médecin,DEVRAND HERVE,06/01/2014,27/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DELEFOSSE FRANCK,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DELEFOSSE FRANCK,01/04/2014,01/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DELEFOSSE FRANCK,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DELEFOSSE FRANCK,24/04/2014,24/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DELEFOSSE FRANCK,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,DELEFOSSE FRANCK,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DEVRAND HERVE,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Pharmacien,LEFRAIS VINCENT,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Pharmacien,LEFRAIS BINET ANNE,05/11/2013,05/11/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,DELEFOSSE FRANCK,19/09/2013,19/09/2013 - 19/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DELEFOSSE FRANCK,12/09/2013,12/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,DELEFOSSE FRANCK,13/12/2013,13/12/2013 - 13/12/2013,Autre : HOSPITALITE RP,,
FERRING SAS,Médecin,CLINQUART HELENE,03/10/2013,03/10/2013 - 03/10/2013,Autre : [ Manifestation Scientifique ],,
FERRING SAS,Médecin,MAUGARD GAEL,03/10/2013,03/10/2013 - 03/10/2013,Autre : [ Manifestation Scientifique ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELEFOSSE FRANCK,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELEFOSSE FRANCK,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEVRAND HERVE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEVRAND HERVE,17/10/2013,17/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,DELEFOSSE FRANCK,03/12/2013,03/12/2013 -,Autre : Manifestation scientifique,,
