A+A,Médecin,CHIDIAC JEAN,25/09/2013,25/09/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,CAZE BENJAMIN,12/04/2014,12/04/2014 -,RECHERCHE,,
ASTRAZENECA,Association professionnel de santé,ASSOCIATION POUR L'AMELIORATION DES PRATIQUES EN SANTE - AAPS,02/12/2013,02/12/2013 -,Congrès/symposium,,
ASTRAZENECA,Médecin,ALBERGE MARC,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,ALBERGE MARC,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BOUTARFA SALIHA,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BOUTARFA SALIHA,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CAZE BENJAMIN,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHIDIAC JEAN,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MEHEUT JACQUES,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PLANTEGENEST SOPHIE,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,THOMAS SCHMIDT BRIGITTE,10/01/2014,10/01/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,MEHEUT JACQUES,03/12/2013,03/12/2013 - 03/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ALBERGE MARC,10/10/2013,10/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,THOMAS SCHMIDT BRIGITTE,28/03/2014,28/03/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,THOMAS SCHMIDT BRIGITTE,11/10/2013,11/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Association professionnel de santé,ASSOCIATION POUR L'AMELIORATION DES PRATIQUES EN SANTE,11/12/2013,11/12/2013 - 13/12/2013,Subventions,,
JANSSEN-CILAG,Médecin,PLANTEGENEST SOPHIE,18/04/2013,18/04/2013 - 18/04/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALBERGE MARC,25/03/2014,25/03/2014 - 25/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALBERGE MARC,14/05/2013,14/05/2013 -,Autre : [Convention hospitalite],,
