3M France,Chirurgien-dentiste,CAUCHY DAVID,30/01/2014,30/01/2014 -,FORMATION,,
A+A,Médecin,BELVA VALERIE,17/12/2013,17/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BELVA VALERIE,18/11/2013,15/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BELVA VALERIE,24/09/2013,25/09/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BIGOS SYLVIE,03/12/2013,02/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,CHEVALON BERNARD,03/09/2012,31/08/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DEWAILLY ARNAUD,30/01/2013,30/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DIERS ANNE SOPHIE,31/01/2012,26/01/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DIERS ANNE SOPHIE,19/06/2012,19/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DIERS ANNE SOPHIE,11/09/2012,11/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,GRANDAMME CHRISTIAN,04/02/2013,01/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,GRANDAMME CHRISTIAN,25/01/2013,24/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,KOJFER ALAIN,06/01/2014,27/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MARTIN SERGE,26/06/2012,25/06/2012 -,ETUDE DE MARCHE,,
ABBOTT PRODUCTS SAS,Médecin,DJENDAR Meki,19/09/2013,11/10/2013 -,Congres, Symposium,,
AbbVie,Médecin,DEWAILLY ARNAUD,04/02/2014,04/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
All Global,Opticien-lunetier,Cousin Sandrine,14/05/2014,14/05/2014 -,[Marketing],,
AMGEN SAS,Pharmacien,BEREAU  ANTHUNE SANDRA,04/04/2013,04/04/2013 - 05/04/2013,CONGRES/SYMPOSIUM,,
AMPLITUDE,Médecin,stahl PHILIPPE,28/04/2014,06/06/2014 - 06/06/2014,CONSEIL,,
AMPLITUDE,Médecin,STAHL PHILIPPE,31/12/2013,07/02/2014 - 07/02/2014,CONSEIL,,
