A+A,Pharmacien,LANEZ SABINE,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
EXAFIELD,Médecin,FOURNET Philippe,01/01/2014,01/01/2014 -,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGUILLIEZ CHRISTIAN,13/03/2014,13/03/2014 - 13/03/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,CHEHAB SORIS SYLVIE,11/12/2013,11/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,FOURNET PHILIPPE,14/11/2013,14/11/2013 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,LEMAIRE FRANCOIS,11/12/2013,11/12/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,LEMAIRE FRANCOIS,30/01/2014,30/01/2014 - 30/01/2014,INVITATION,,
MENARINI FRANCE,Médecin,CHEHAB SORIS SYLVIE,10/06/2014,10/06/2014 - 10/06/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,CHEHAB SORIS SYLVIE,07/01/2014,07/01/2014 - 07/01/2014,Autre : Réunion scientifique,,
SANOFI AVENTIS FRANCE,Médecin,CHEHAB SORIS SYLVIE,24/06/2014,24/06/2014 - 24/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,CHEHAB SORIS SYLVIE,06/05/2014,06/05/2014 - 06/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,JOSSEAUME FANNY,15/05/2014,15/05/2014 - 15/05/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,LAGUILLIEZ CHRISTIAN,17/06/2014,17/06/2014 - 17/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,LEMAIRE FRANCOIS,20/06/2014,20/06/2014 - 20/06/2014,Autre : [Opération SA/Journée-Soirée],,
SANOFI AVENTIS FRANCE,Médecin,LEMAIRE FRANCOIS,28/01/2014,28/01/2014 - 28/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,LEMAIRE FRANCOIS,17/06/2014,17/06/2014 - 17/06/2014,Autre : [Réunion],,
