ASPEN FRANCE,Association professionnel de santé,Association CMU BRETAGNE,17/03/2014,10/04/2014 - 10/04/2014,Location de stand,,
ASTRAZENECA,Médecin,LORETTE THIERRY,26/09/2013,26/09/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORETTE THIERRY,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d’Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORETTE THIERRY,12/02/2014,12/02/2014 - 12/02/2014,Autre : [Convention d'Hospitalité],,
LOL PHARMA,Pharmacien,LE POTIER MARSOIN MARIE ANNE LE POTIER MARSOIN MARIE ANNE,14/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LE POTIER MARSOIN MARIE ANNE LE POTIER MARSOIN MARIE ANNE,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LE POTIER MARSOIN MARIE ANNE LE POTIER MARSOIN MARIE ANNE,15/03/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,LORETTE THIERRY,03/05/2012,03/05/2012 -,CONVENTION D HOSPITALITE,,
MUNDIPHARMA,Médecin,LORETTE THIERRY,12/06/2013,12/06/2013 - 12/06/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,LORETTE THIERRY,30/01/2014,30/01/2014 -,AUTRE: CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,LORETTE THIERRY,16/11/2013,16/11/2013 - 17/11/2013,Convention d'Hospitalité,,
Takeda France,Médecin,LORETTE Thierry,16/01/2014,16/01/2014 - 16/01/2014,Autre: [Convention d'hospitalité],,
Takeda France,Pharmacien,DELORME Emmanuel,16/01/2014,16/01/2014 - 16/01/2014,Autre: [Convention d'hospitalité],,
TEVA SANTE SAS,Autres types de personne morale,PHIE LE POTIER / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LE POTIER / SARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LE POTIER / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LE POTIER / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
