3M France,Chirurgien-dentiste,VIVET ROMARIC,05/12/2013,05/12/2013 -,FORMATION,,
ASTRAZENECA,Médecin,DESMET ERIC,09/01/2014,09/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DEVILLER BERNARD,09/01/2014,09/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DEVILLER BERNARD,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GENOUX PRACHEX ELIZABETH,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GENOUX PRACHEX ELIZABETH,09/01/2014,09/01/2014 -,Formation,,
ASTRAZENECA,Médecin,VIGLIANO GILLES,09/01/2014,09/01/2014 -,Formation,,
ASTRAZENECA,Pharmacien,ARBET BERTHELOT BRIGITTE,09/01/2014,09/01/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,PACALET SERGE,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DJO France SAS,Orthophoniste,VANBERVLIET Marie,23/03/2013,23/03/2013 - 23/03/2013,Formation,,
LABORATOIRES COLOPLAST,Médecin,DESMET ERIC,10/06/2014,10/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Médecin,DEVILLER BERNARD,10/06/2014,10/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Médecin,GENOUX PRACHEX ELIZABETH,10/06/2014,10/06/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Pharmacien,ARBET BERTHELOT BRIGITTE,10/06/2014,10/06/2014 -,Autre : convention d'hospitalité,,
LUNDBECK SAS,Médecin,DESMET ERIC,18/03/2014,18/03/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
LUNDBECK SAS,Médecin,DEVILLER BERNARD,18/03/2014,18/03/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
LUNDBECK SAS,Médecin,GENOUX PRACHEX ELIZABETH,18/03/2014,18/03/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
MENARINI FRANCE,Médecin,TOLEDANO ALBERT,24/04/2014,24/04/2014 - 24/04/2014,Autre : Réunion scientifique,,
NOVARTIS PHARMA SAS,Médecin,SCHAUSS FREDERIQUE,23/01/2014,23/01/2014 - 24/01/2014,Autre : [Hospitalité Evenement],,
NOVO NORDISK,Médecin,VIGLIANO GILLES,21/01/2014,21/01/2014 -,HOSPITALITE,,
