A+A,Médecin,AIGUILLON DOURESSAMY CAROLE,11/09/2012,11/09/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,AIGUILLON DOURESSAMY CAROLE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DOURESSAMY GASTON,13/11/2013,13/11/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,AIGUILLON DOURESSAMY CAROLE,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DOURESSAMY GASTON,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,DEVAIRE COLETTE,08/11/2013,08/11/2013 -,[FORMATION],,
LABORATOIRES URGO,Médecin,DOURESSAMY Gaston,12/02/2014,12/02/2014 -,Congrès / Symposium,,
LABORATOIRES URGO,Médecin,SALLEE Patrick,12/02/2014,12/02/2014 -,Congrès / Symposium,,
LABORATOIRES URGO,Médecin,VINCENT Nelly,12/02/2014,12/02/2014 -,Congrès / Symposium,,
MENARINI FRANCE,Médecin,DOURESSAMY GASTON,26/06/2014,26/06/2014 - 26/06/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,DOURESSAMY GASTON,04/06/2014,04/06/2014 - 04/06/2014,Autre : Réunion scientifique,,
MSD France,Médecin,DOURESSAMY GASTON,22/05/2014,22/05/2014 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DELGOULET / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DELGOULET / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DELGOULET / SNC,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DELGOULET / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
