Bayer HealthCare SAS,Médecin,SARKIS CHARBEL,28/03/2014,28/03/2014 - 28/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SARKIS CHARBEL,19/12/2013,19/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,SARKIS CHARBEL,03/07/2013,03/07/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,SARKIS CHARBEL,08/04/2014,08/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,SARKIS CHARBEL,05/12/2013,05/12/2013 -,AUTRE,,
Lilly France SAS,Médecin,SARKIS CHARBEL,20/02/2014,20/02/2014 - 20/02/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
PIERRE FABRE MEDICAMENT,Médecin,DELCHET FORESTIER MARIE PIERRE,17/06/2014,17/06/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DELCHET FORESTIER MARIE PIERRE,28/11/2013,28/11/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,MAZIERES PHILIPPE,20/03/2014,20/03/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,MAZIERES PHILIPPE,26/09/2013,26/09/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,SARKIS CHARBEL,19/06/2014,19/06/2014 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Infirmier,JEREMIE FABIEN,02/06/2014,02/06/2014 - 02/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,SARKIS CHARBEL,02/06/2014,02/06/2014 - 02/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE GOIN,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GOIN,26/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MEYNIAL,03/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MEYNIAL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
