3M France,Chirurgien-dentiste,VIDAL DAMIEN,07/10/2013,07/10/2013 -,FORMATION,,
A+A,Médecin,CALVO PEREZ JEAN PHILIPPE,18/07/2012,18/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,CALVO PEREZ JEAN PHILIPPE,10/04/2012,10/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,EPAILLY ALEXANDRE,17/01/2013,17/01/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,LAVIE CLAIRE,17/12/2012,17/12/2012 -,ETUDE DE MARCHE,,
AbbVie,Pharmacien,BARDYN BLOIS ANNICK,26/05/2014,26/05/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Pharmacien,PATRAT JEAN PAUL,26/05/2014,26/05/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MANGIN LORRAINE,26/05/2014,26/05/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,CAZADE JEAN MICHEL,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DESCLAUX FRANCOIS,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DESCLAUX FRANCOIS,01/10/2013,01/10/2013 -,Formation,,
Axess Research,Médecin,CALVO PEREZ JEAN PHILIPPE,07/04/2014,07/04/2014 - 07/04/2014,Autre : ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,CALVO PEREZ JEAN PHILIPPE,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CALVO PEREZ JEAN PHILIPPE,26/03/2014,26/03/2014 - 26/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,FERON HERVE,25/03/2014,25/03/2014 - 25/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,EPAILLY ALEXANDRE,01/10/2013,01/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROUDGE ALAIN,01/10/2013,01/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,LAVIE CLAIRE,13/06/2014,13/06/2014 -,[FORMATION],,
BOIRON,Pharmacien,LAVIE CLAIRE,13/06/2014,13/06/2014 -,[FORMATION],,
BOIRON,Pharmacien,MULAC NICOLAS,12/05/2014,12/05/2014 -,[FORMATION],,
