A+A,Médecin,PERRIN FRANCK,29/01/2013,18/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DEBACQUE ISABELLE,26/03/2014,26/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DEBACQUE ISABELLE,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FREDERIC JEAN CHRISTOPHE,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PERRIN FRANCK,12/11/2013,12/11/2013 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,DEBACQUE ISABELLE,09/10/2013,09/10/2013 - 09/10/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEBACQUE ISABELLE,13/03/2014,13/03/2014 - 13/03/2014,Autre : [Convention d'Hospitalité],,
LUNDBECK SAS,Médecin,DEBACQUE ISABELLE,29/01/2014,29/01/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
MENARINI FRANCE,Médecin,DEBACQUE ISABELLE,23/01/2014,23/01/2014 - 23/01/2014,Autre : Réunion scientifique,,
MSD France,Médecin,DEBACQUE ISABELLE,04/07/2013,04/07/2013 -,CONVENTION D HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,DEBACQUE ISABELLE,11/12/2013,11/12/2013 - 12/12/2013,Convention d'Hospitalité,,
Takeda France,Médecin,DEBACQUE Isabelle,21/11/2013,21/11/2013 - 21/11/2013,Autre: [Convention d'hospitalité],,
Takeda France,Médecin,TEXIER Francois,21/11/2013,21/11/2013 - 21/11/2013,Autre: [Convention d'hospitalité],,
TEVA SANTE SAS,Autres types de personne morale,PHIE ARDILLIER / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ARDILLIER / SARL,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ARDILLIER / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ARDILLIER / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROUANET LEGRAND / SNC,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROUANET LEGRAND / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROUANET LEGRAND / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
