3S ORTHO,Médecin,MURE JEAN PHILIPPE,14/11/2013,19/12/2013 -,Congrès,,
A+A,Médecin,COULOMBEAU ERIC,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,OLLIVIER DEVISMES FLORENCE,11/10/2013,10/10/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,BAESJOU SERGE,16/04/2014,16/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,BAUX FREDERIC,16/04/2014,16/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ALK-Abelló,Médecin,DE MONREDON OLIVIER,03/12/2013,03/12/2013 - 03/12/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,FAVROULT FRANCE,03/12/2013,03/12/2013 - 03/12/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALLERGAN FRANCE,Médecin,BONNERIC-MALTHIEU FELICIA,18/07/2013,18/07/2013 - 17/07/2014,FORMATION,,
ASPEN FRANCE,Médecin,POMIES GERALDINE,16/06/2014,20/06/2014 - 20/06/2014,Etude,,
ASTRAZENECA,Infirmier,BOLINCHES CECILE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Infirmier,DULLOO FRANCOISE,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Infirmier,DULLOO FRANCOISE,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Infirmier,DULLOO FRANCOISE,06/11/2013,06/11/2013 -,Formation,,
ASTRAZENECA,Infirmier,GILARD BENEDICTE,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Infirmier,GILARD BENEDICTE,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Infirmier,MARIOTTO DOMINIQUE,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Infirmier,PAINEAU PATRICIA,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Infirmier,PAINEAU PATRICIA,06/06/2014,06/06/2014 -,Formation,,
ASTRAZENECA,Infirmier,PRADALIER JACQUES,06/06/2014,06/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BERTRAND MARIE ANNE,21/02/2014,21/02/2014 -,Formation,,
