A+A,Médecin,CALEMBERT CARLOS,28/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
DAIICHI SANKYO FRANCE SAS,Médecin,TRUCHON CEDRIC,20/11/2013,20/11/2013 - 20/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,YOH FRANK,24/10/2013,24/10/2013 - 24/10/2013,Autre : [ hospitalité ],,
LABORATOIRES COLOPLAST,Infirmier,SARTOR DAVID,15/05/2014,15/05/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Médecin,DURAND ANDREE,15/05/2014,15/05/2014 -,Autre : convention d'hospitalité,,
LOL PHARMA,Pharmacien,ALBERT FLORENT ALBERT FLORENT,25/07/2013,01/08/2013 -,CONTRAT DE PRESTATION DE SERVICE,,
MSD France,Médecin,DE NAYVILLE BRIGITTE,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DE NAYVILLE BRIGITTE,03/06/2014,03/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MAILHOL MARC,01/04/2014,01/04/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MAILHOL MARC,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,LACOSTE POUBLANC CELINE,02/07/2013,02/07/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALBERT / SELARL,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALBERT / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALBERT / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALBERT / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BORREDON ESTERLE / SARL,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BORREDON ESTERLE / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BORREDON ESTERLE / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BORREDON ESTERLE / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
