A+A,Médecin,LOIZEAU MAUPETIT DOMINIQUE,31/07/2012,30/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,ALIX MICHEL,21/02/2014,21/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BONNIN MARTINE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BRINON ALEXANDRE,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BRINON ALEXANDRE,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BUI TONY,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BUI TONY,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,COUSSOT DANIEL,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,COUSSOT DANIEL,19/11/2013,19/11/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,BRINON ALEXANDRE,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BUI VIET CUONG,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,COUSSOT DANIEL,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,PARROD GERARD,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,SAMMUT GERALD,02/04/2014,02/04/2014 - 02/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,BRINON ALEXANDRE,20/11/2013,20/11/2013 - 20/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,D AUZAC DE LAMARTINI PIERRE,20/11/2013,20/11/2013 - 20/11/2013,Autre : [ hospitalité ],,
DENTSPLY Implants,Chirurgien-dentiste,HUET RENAUD,18/12/2013,12/02/2014 - 12/02/2014,HUET_La prothèse simplifiée sur le système ATIS..._12  février 2014,,
IPSEN PHARMA,Médecin,BRINON ALEXANDRE,25/03/2014,25/03/2014 - 25/03/2014,CONVENTION D'HOSPITALITE,,
Kantar Health,Médecin,BRINON ALEXANDRE,15/05/2014,15/05/2014 - 15/05/2014,[MARKETING],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRINON ALEXANDRE,04/02/2014,04/02/2014 - 04/02/2014,Autre : [Convention d'Hospitalité],,
