ASTRAZENECA,Médecin,THEVENON GERARD,22/05/2014,22/05/2014 -,Formation,,
EXAFIELD,Pharmacien,COTTIER COTTIER,01/01/2014,01/01/2014 -,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRENIER GERALD,26/09/2013,26/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,THEVENON GERARD,26/09/2013,26/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
MSD France,Médecin,BRUGIROUX ALAIN,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GRENIER GERALD,13/06/2013,13/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GRENIER GERALD,28/05/2013,28/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GRENIER GERALD,20/03/2012,20/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GRENIER GERALD,29/08/2013,29/08/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GRENIER GERALD,13/06/2013,13/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,THEVENON GERARD,29/08/2013,29/08/2013 -,CONVENTION D’HOSPITALITÉ,,
