Bayer HealthCare SAS,Médecin,SEGUIN CELINE,12/06/2014,12/06/2014 - 12/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DELAGNES,01/07/2013,01/07/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DELAGNES,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DELAGNES,01/11/2013,01/11/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
MSD France,Médecin,ANGER VIRGINIE,05/09/2012,05/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GIAFFERRI JEAN SIMON,16/10/2012,16/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SEGUIN CELINE,24/06/2014,24/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SEGUIN CELINE,20/09/2012,20/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,VILLIERS ROSAMARIA,05/09/2012,05/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,BLANCHARD CECILE,05/06/2014,05/06/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,ALAZARD CHRISTOPHE,07/12/2013,07/12/2013 - 07/12/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,BOULET THOMAS,07/12/2013,07/12/2013 - 07/12/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,THOLLOT LAURIANE,07/12/2013,07/12/2013 - 07/12/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU CHATEAU / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU CHATEAU / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU CHATEAU / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU CHATEAU / SNC,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
