A+A,Médecin,LAMMENS BERTRAND,09/10/2013,09/10/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,LAMMENS BERTRAND,12/01/2014,12/01/2014 -,RECHERCHE,,
ASTRAZENECA,Médecin,ROUSSEL ETIENNE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,ROUSSEL ETIENNE,11/06/2014,11/06/2014 -,Formation,,
ASTRAZENECA,Médecin,ROUSSEL ETIENNE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ROUSSEL ETIENNE,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,STEINBERG CHRISTOPHE,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,STEINBERG CHRISTOPHE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,STEINBERG CHRISTOPHE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,STEINBERG CHRISTOPHE,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,STEINBERG CHRISTOPHE,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,STEINBERG CHRISTOPHE,26/11/2013,26/11/2013 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,HUNKELER KARINE,12/09/2013,12/09/2013 - 12/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,ROUSSEL ETIENNE,12/09/2013,12/09/2013 - 12/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,STEINBERG CHRISTOPHE,12/09/2013,12/09/2013 - 12/09/2013,Autre : [ hospitalité ],,
IMS HEALTH SAS,Médecin,HUNKELER Karine,27/03/2013,27/03/2013 -,autre : Etude observationnelle,,
Laboratoires Lohmann & Rauscher,Pharmacien,ZAKIZADEH ALEXANDRE,17/04/2014,17/04/2014 -,FORMATION,,
LASER,Médecin,LAMMENS BERTRAND,01/03/2012,01/03/2012 - 30/04/2014,RECHERCHE,,
LEO Pharma,Médecin,HUNKELER KARINE,25/02/2013,25/02/2013 - 31/08/2014,Recherche,,
LEO Pharma,Médecin,STEINBERG OLIVIER,18/02/2013,18/02/2013 - 31/08/2014,Recherche,,
