All Global,Médecin,Gauthier Pascale,06/06/2014,06/06/2014 -,[Marketing],,
ASTRAZENECA,Médecin,LORDIER ERIC,13/12/2013,13/12/2013 -,Formation,,
EG LABO - LABORATOIRES EUROGENERICS,Pharmacien,MATHON FRANCOIS,03/04/2014,03/04/2014 - 03/04/2014,Salon/MAD de stand,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VIEUX VILLAGE PHIE DU VIEUX VILLAGE,11/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VIEUX VILLAGE PHIE DU VIEUX VILLAGE,11/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEVILLEZ ALAIN,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEVILLEZ ALAIN,27/01/2012,27/01/2012 -,Autre : [Convention d hospitalite],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GAUTHIER PASCALE,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LORDIER ERIC,11/04/2014,11/04/2014 - 12/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TALLEC YVES,28/11/2013,28/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TALLEC YVES,10/04/2014,10/04/2014 - 11/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LORDIER ERIC,22/01/2014,28/01/2014 - 28/01/2015,AUTRE : Recherche épidémiologique,,
LES LABORATOIRES SERVIER,Médecin,LORDIER ERIC,29/11/2013,29/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,LORDIER ERIC,18/10/2013,18/10/2013 -,Autre : Manifestation scientifique,,
MSD France,Médecin,BACH JACQUES,30/06/2013,14/12/2012 -,RECHERCHE BIOMEDICALE,,
MSD France,Médecin,LORDIER ERIC,07/02/2014,07/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LORDIER ERIC,22/03/2013,22/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LORDIER ERIC,30/03/2012,30/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,TALLEC YVES,19/09/2012,19/09/2012 -,CONVENTION D HOSPITALITE,,
Second Stage Pharma,Médecin,GAUTHIER PASCALE,08/10/2013,08/10/2013 -,RECHERCHE,,
