BRISTOL-MYERS SQUIBB,Médecin,DE LABRUSSE DIDIER,29/01/2014,29/01/2014 -,Autre : [Orateur],,
DAIICHI SANKYO FRANCE SAS,Médecin,DE LABRUSSE DIDIER,28/11/2013,28/11/2013 - 28/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,POPA CORINA PAULINA,28/11/2013,28/11/2013 - 28/11/2013,Autre : [ hospitalité ],,
EXAFIELD,Pharmacien,PRIVAT PRIVAT,01/01/2014,01/01/2014 -,MARKETING,,
MSD France,Médecin,DE LABRUSSE DIDIER,05/01/2012,05/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DE LABRUSSE DIDIER,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DE LABRUSSE DIDIER,08/10/2012,08/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DE LABRUSSE DIDIER,14/05/2012,14/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,POPA CORINA PAULINA,29/03/2012,29/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,POPA CORINA PAULINA,03/07/2012,03/07/2012 -,CONVENTION D HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,DE LABRUSSE DIDIER,07/12/2013,07/12/2013 - 07/12/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,DE LABRUSSE DIDIER,03/10/2013,03/10/2013 - 03/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,DE LABRUSSE DIDIER,28/01/2014,28/01/2014 - 28/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,POPA CORINA PAULINA,24/06/2014,24/06/2014 - 24/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Médecin,DE LABRUSSE DIDIER,27/05/2014,27/05/2014 - 27/05/2014,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
TEVA SANTE SAS,Médecin,POPA CORINA PAULINA,27/05/2014,27/05/2014 - 27/05/2014,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
