A+A,Médecin,UGOLIN FRANTZ,19/10/2012,18/10/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,ADJAL NOURREDDINE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ADJAL NOURREDDINE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ROTH CLAUDE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,UGOLIN FRANTZ,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,UGOLIN FRANTZ,07/11/2013,07/11/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ADJAL NOURREDDINE,20/09/2013,20/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,UGOLIN FRANTZ,21/02/2014,21/02/2014 - 21/02/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,ADJAL NOURREDDINE,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,ADJAL NOURREDDINE,04/07/2013,04/07/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,ADJAL NOURREDDINE,20/03/2014,20/03/2014 -,Autre : Manifestation scientifique,,
PASCALEO,Médecin,ADJAL NOURREDDINE,08/10/2013,08/10/2013 -,AUTRE,,
SANOFI AVENTIS FRANCE,Médecin,UGOLIN FRANTZ,15/05/2014,15/05/2014 - 15/05/2014,Autre : [Réunion],,
