AbbVie,Médecin,VIDAL FUMERY MARIE LAURENCE,20/09/2013,20/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,BERRUET REMI,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MARQUANT PIERRE,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MARQUANT PIERRE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,07/04/2014,07/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,23/09/2013,23/09/2013 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,13/09/2013,13/09/2013 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,27/01/2014,27/01/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,18/11/2013,18/11/2013 -,Formation,,
ASTRAZENECA,Médecin,VIDAL FUMERY MARIE LAURENCE,03/10/2013,03/10/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BERRUET REMI,28/11/2013,28/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,VIDAL FUMERY MARIE LAURENCE,28/11/2013,28/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Médecin,BERRUET REMI,28/09/2013,28/09/2013 - 29/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,BERRUET REMI,05/12/2013,05/12/2013 - 05/12/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,VIDAL FUMERY MARIE LAURENCE,05/12/2013,05/12/2013 - 05/12/2013,Autre : [ hospitalité ],,
IMS HEALTH SAS,Médecin,BERRUET REMI,27/02/2014,27/02/2014 - 31/12/2014,autre: ETUDE OBSERVATIONNELLE,,
