A+A,Médecin,KOHSER PIERRE,11/10/2013,09/10/2013 -,ETUDE DE MARCHE,,
Becton Dickinson France SAS,Médecin,WEY NATHALIE,10/04/2014,10/04/2014 -,FORMATION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JACQUET PIERROULET CECILE,25/06/2014,25/06/2014 - 25/06/2014,Autre : [Convention d’Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOHSER PIERRE,25/06/2014,25/06/2014 - 25/06/2014,Autre : [Convention d’Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOHSER PIERRE,20/09/2013,20/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SCHAAL CHRISTIAN,25/06/2014,25/06/2014 - 25/06/2014,Autre : [Convention d’Hospitalité],,
MENARINI FRANCE,Médecin,FRANÇOIS NICOLAS,30/01/2014,30/01/2014 - 30/01/2014,Autre : Réunion scientifique,,
MSD France,Médecin,FIGUEIREDO ERIC,22/01/2014,22/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JACQUET PIERROULET CECILE,14/06/2012,14/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JACQUET PIERROULET CECILE,22/01/2014,22/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SCHAAL CHRISTIAN,14/06/2012,14/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SCHAAL CHRISTIAN,22/01/2014,22/01/2014 -,CONVENTION D’HOSPITALITÉ,,
PFIZER SAS,Médecin,JACQUET PIERROULET CECILE,15/05/2014,15/05/2014 - 15/05/2014,HOSPITALITE RP/CONGRES / SYMPO,,
PFIZER SAS,Médecin,SCHAAL CHRISTIAN,15/05/2014,15/05/2014 - 15/05/2014,HOSPITALITE RP/CONGRES / SYMPO,,
SANOFI AVENTIS FRANCE,Infirmier,GAULT DANIELLE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Infirmier,WEISHEIMER FABIENNE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,GAULT YVES,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,JACQUET PIERROULET CECILE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,SCHAAL CHRISTIAN,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,WEY NATHALIE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Réunion],,
