AbbVie,Médecin,MEYER JEANNE,10/06/2014,10/06/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTELLAS PHARMA,Association professionnel de santé,ASSOCIATION ACTION ANTLGIE,12/10/2012,12/10/2012 -,RECHERCHE,,
ASTRAZENECA,Médecin,DJEMAA ALAIN,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,NARDOT FABIENNE,15/05/2014,15/05/2014 -,Congrès/symposium,,
ASTRAZENECA,Médecin,NARDOT FABIENNE,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,TUR PIERRE,15/04/2014,15/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,COHEN FABRE HELENE,05/06/2014,05/06/2014 - 05/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VAUDOIRE NC,27/05/2014,27/05/2014 -,[FORMATION],,
CHIESI SA,Médecin,CHIONO MICHEL,20/02/2014,20/02/2014 - 20/02/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,CHIONO MICHEL,09/09/2013,09/09/2013 - 09/09/2013,Autre : HOSPITALITE RP,,
EXAFIELD,Pharmacien,DE L HORLOGE DE L HORLOGE,01/01/2014,01/01/2014 -,MARKETING,,
EXAFIELD,Pharmacien,DE L HORLOGE DE L HORLOGE,01/01/2014,01/01/2014 -,MARKETING,,
GIBAUD,Pharmacien,LISBONNE MARIE-HELENE,19/05/2014,19/01/2014 -,Formation,,
GIBAUD,Pharmacien,NOEL EDOUARD,19/05/2014,19/01/2014 -,Formation,,
GIBAUD,Pharmacien,NOEL PASCAL,19/05/2014,19/01/2014 -,Formation,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE MONTARNAUD PHIE DE MONTARNAUD,23/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE MONTARNAUD PHIE DE MONTARNAUD,23/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
JANSSEN-CILAG,Médecin,CHIONO MICHEL,05/12/2013,05/12/2013 - 05/12/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Pharmacien,GAL LAURENT,27/06/2013,27/06/2013 - 27/06/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Pharmacien,STEFFEN ANNE,27/06/2013,27/06/2013 - 27/06/2013,CONGRES / SYMPOSIUM,,
