A+A,Médecin,COUCKE JOSEPH,26/03/2012,23/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BLONDEL DIDIER,22/10/2013,22/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BLONDEL ANGOT ANNIE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BLONDEL ANGOT ANNIE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DELAMARE BRUNO,11/06/2014,11/06/2014 -,Formation,,
ASTRAZENECA,Médecin,DELAMARE BRUNO,22/10/2013,22/10/2013 -,Formation,,
ASTRAZENECA,Médecin,TISCA JEAN,22/10/2013,22/10/2013 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,BLONDEL DIDIER,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,BLONDEL ANGOT ANNIE,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,CABIN JACQUES,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,DELAMARE BRUNO,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,LEMONNIER GEORGES PATRICK,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,TISCA JEAN,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DJO France SAS,Masseur-kinésithérapeute,GIRAULT JACQUELINE,06/12/2013,23/01/2014 - 23/01/2014,SOIREE FORMATION / PRISE EN CHARGE D UNE PARTIE DU BUFFET,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LIANDIER STEPHANIE,03/06/2014,03/06/2014 - 03/06/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RABAULT GHISLAINE,03/06/2014,03/06/2014 - 03/06/2014,CONVENTION D'HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ANGOT ANNIE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLONDEL ANGOT ANNIE,15/05/2014,15/05/2014 - 16/05/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,BLONDEL DIDIER,04/02/2014,04/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DELAMARE BRUNO,04/02/2014,04/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
