3M France,Chirurgien-dentiste,PERRIAT OLIVIER,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
ASTRAZENECA,Médecin,BARRAL CADIERE PIERRE,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,GILIBERT PIERRE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,RAMON PATRICK,04/06/2014,04/06/2014 -,Formation,,
GIBAUD,Pharmacien,LEFEBVRE-GUERAUD PINET SEVERINE,25/03/2014,19/01/2014 -,Formation,,
GIBAUD,Pharmacien,MIRAMOND FABIEN,25/03/2014,19/01/2014 -,Formation,,
GIBAUD,Pharmacien,QUILON PASCAL,25/03/2014,19/01/2014 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,LAMI CHRISTINE,03/12/2013,02/12/2013 - 02/12/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LASER,Médecin,BARRAL CADIERE PIERRE,20/04/2012,20/04/2012 - 31/12/2013,RECHERCHE,,
LASER,Médecin,GILIBERT PIERRE,10/03/2012,10/03/2012 - 31/12/2013,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,GILIBERT PIERRE,27/05/2014,27/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,GILIBERT PIERRE,24/09/2013,24/09/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,HADJI FOUDIL,09/07/2013,09/07/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,MALLORY BRUNO,24/05/2014,24/05/2014 - 25/05/2014,Congrès / Symposium,,
MENARINI FRANCE,Médecin,RAMON PATRICK,24/05/2014,24/05/2014 - 25/05/2014,Congrès / Symposium,,
MSD France,Médecin,CHATENAY NATHALIE,11/03/2014,11/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GILIBERT PIERRE,11/03/2014,11/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MALLORY BRUNO,26/04/2012,26/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,RAMON PATRICK,26/04/2012,26/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,RAMON PATRICK,19/06/2014,19/06/2014 -,CONVENTION D’HOSPITALITÉ,,
