ASPIDE MEDICAL,Médecin,LECOANET PIERRE,18/09/2013,20/11/2013 - 23/11/2013,CONGRES/SYMPOSIUM,,
ASTRAZENECA,Médecin,BRESSON DANIEL,13/02/2014,13/02/2014 -,Formation,,
BOIRON,Pharmacien,BANZET VIRGINIE,14/11/2013,14/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,DEGOT ANNE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CARTIGNY LUCIE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COLOMBAIN SUZY,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COLOMBAIN SUZY,14/11/2013,14/11/2013 -,[FORMATION],,
CHIESI SA,Médecin,BRESSON DANIEL,19/03/2014,19/03/2014 - 19/03/2014,Autre : HOSPITALITE RP,,
EG LABO - LABORATOIRES EUROGENERICS,Pharmacien,DEGOT THIERRY,24/04/2014,24/04/2014 - 24/04/2014,Salon/MAD de stand,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRESSON DANIEL,07/11/2013,07/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HECKEL JEAN FRANCOIS,07/11/2013,07/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECOANET PIERRE,07/11/2013,07/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PRUNIER BAUDOUIN LYDIE,07/11/2013,07/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,BRESSON DANIEL,20/05/2014,20/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,PRUNIER-BAUDOUIN LYDIE,20/05/2014,20/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
TEVA SANTE SAS,Autres types de personne morale,PHIE THERMALE / SNC,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
