A+A,Médecin,GUIONIE JEAN PIERRE,12/03/2012,09/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Infirmier,DAUBECH HELENE,22/05/2014,22/05/2014 -,Formation,,
BOIRON,Pharmacien,CARLET CATHERINE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,CARLET JEAN-MICHEL,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,LEMMET ANNE,19/11/2013,19/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,LEMMET ANNE,15/04/2014,15/04/2014 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRASSET JEAN MICHEL,28/10/2013,28/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUIONIE JEAN PIERRE,28/10/2013,28/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVAL JEAN MAX,28/10/2013,28/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POUGET MICHEL,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,CARLET CATHERINE,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,CARLET JEAN MICHEL,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES CONVATEC,Infirmier,ALEXIS LAURENCE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,CHERAIL JENNIFER,23/01/2014,23/01/2014 - 23/01/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,CRESPEM DELPHINE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,GUIONIE LAURENCE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,JOUDOUX AURELIE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,BOISSEUIL EMILIE,10/10/2013,10/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,GUIONIE JEAN-PIERRE,10/10/2013,10/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,LAVAL JEAN-MAX,10/10/2013,10/10/2013 -,Autre : Manifestation scientifique,,
