A+A,Médecin,MARCHAND CATHERINE,11/06/2013,10/06/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Diététicien,HIRSON JULIE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BOUGAULT DENIS,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BOULENT LUDOVIC,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BUKATO ALAIN,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BUREAU HEBERT SOLENE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PORQUET JEAN PIERRE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,PORQUET JEAN PIERRE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PORQUET JEAN PIERRE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PORQUET JEAN PIERRE,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ROUSSET JEAN MARC,13/02/2014,13/02/2014 -,Formation,,
BOIRON,Pharmacien,FOSSET AUDE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,LEBLONDEL NATHALIE,17/04/2014,17/04/2014 -,[FORMATION],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES HALLES   SELARL PHIE DES HALLES   SELARL,07/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES HALLES   SELARL PHIE DES HALLES   SELARL,08/01/2014,06/02/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES HALLES   SELARL PHIE DES HALLES   SELARL,07/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES HALLES   SELARL PHIE DES HALLES   SELARL,21/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES HALLES   SELARL PHIE DES HALLES   SELARL,23/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES HALLES   SELARL PHIE DES HALLES   SELARL,18/11/2013,08/01/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE NAIM PHIE NAIM,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
