A+A,Médecin,RIBOURTOUT JEAN PAUL,27/12/2013,23/12/2013 -,ETUDE DE MARCHE,,
AMGEN SAS,Association professionnel de santé,ASSOCIATION POUR LA RECHERCHE EN NEPHROLOGIE,22/01/2014,22/01/2014 - 31/12/2017,CONVENTION DE RECHERCHE,,
AMGEN SAS,Médecin,STOLZ ARNAUD,22/01/2014,22/01/2014 - 31/12/2017,CONVENTION DE RECHERCHE,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,09/04/2014,09/04/2014 -,Formation,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,COLBACH JEAN PHILIPPE,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,COLIN THIERRY,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,COLIN THIERRY,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,MORLET LAURENT,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MORLET LAURENT,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,RIBOURTOUT JEAN PAUL,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,RIBOURTOUT JEAN PAUL,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,SEMBLAT HERVE,09/04/2014,09/04/2014 -,Formation,,
ASTRAZENECA,Médecin,SEMBLAT HERVE,22/05/2014,22/05/2014 -,Formation,,
