A+A,Médecin,RADU MONICA,31/01/2012,26/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BARDOU JEAN,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,PONTIS JEAN LUC,15/04/2014,15/04/2014 -,Formation,,
EXAFIELD,Pharmacien,DU CHANGEON DU CHANGEON,01/01/2014,01/01/2014 -,MARKETING,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VAL D IZE PHIE DU VAL D IZE,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VAL D IZE PHIE DU VAL D IZE,11/09/2013,03/10/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VAL D IZE PHIE DU VAL D IZE,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VAL D IZE PHIE DU VAL D IZE,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VAL D IZE PHIE DU VAL D IZE,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VAL D IZE PHIE DU VAL D IZE,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VAL D IZE PHIE DU VAL D IZE,28/03/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DU VAL D IZE PHIE DU VAL D IZE,28/03/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LES LABORATOIRES SERVIER,Médecin,PONTIS JEAN LUC,09/07/2013,09/07/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,SOPHIE LEMAITRE SOPHIE LEMAITRE,25/01/2013,05/07/2013 -,CONTRAT DE PRESTATION DE SERVICE,,
MENARINI FRANCE,Médecin,PONTIS JEAN LUC,24/06/2014,24/06/2014 - 24/06/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,PONTIS JEAN LUC,11/02/2014,11/02/2014 - 11/02/2014,Autre : Réunion scientifique,,
MSD France,Pharmacien,GENTON JOLIFF ANNE CECILE,28/05/2013,28/05/2013 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Médecin,BARDOU JEAN,15/10/2013,15/10/2013 - 15/10/2013,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
