3M France,Chirurgien-dentiste,ALTOUNIAN GERARD,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
A+A,Médecin,KREPLAK MICHEL,27/04/2012,26/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,RIPOLL DOMINIQUE,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,RIPOLL DOMINIQUE,22/06/2012,21/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,RIPOLL DOMINIQUE,25/11/2013,25/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,RIPOLL DOMINIQUE,30/03/2012,29/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,RIPOLL DOMINIQUE,05/09/2012,05/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,VERGNOL JEAN FRANCOIS,13/06/2012,13/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,VERGNOL JEAN FRANCOIS,27/04/2012,26/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,VERGNOL JEAN FRANCOIS,07/06/2012,07/06/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,LACOMME MICHEL,31/07/2012,31/07/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,VERGNOL JEAN FRANCOIS,05/09/2013,05/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,VERGNOL JEAN FRANCOIS,05/06/2014,05/06/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ALK-Abelló,Médecin,SIMON NICOLE,25/07/2013,25/07/2013 - 25/07/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,SIMON NICOLE,16/11/2013,16/11/2013 - 17/11/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,SIMON NICOLE,19/09/2013,19/09/2013 - 19/09/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,SIMON NICOLE,03/10/2013,03/10/2013 - 03/10/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,SIMON NICOLE,09/07/2013,09/07/2013 - 09/07/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,SIMON NICOLE,07/09/2013,07/09/2013 - 08/09/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ALK-Abelló,Médecin,SIMON NICOLE,04/11/2013,04/11/2013 -,Recherche,,
