3M France,Médecin,GACHE MICHEL,16/04/2014,02/06/2014 - 02/06/2014,FORMATION,,
ASTRAZENECA,Médecin,DABADIE ARNAULD,13/01/2014,13/01/2014 -,Formation,,
ASTRAZENECA,Médecin,LAGORCE JEAN PAUL,13/01/2014,13/01/2014 -,Formation,,
ASTRAZENECA,Médecin,SALSON PHILIPPE,13/01/2014,13/01/2014 -,Formation,,
ASTRAZENECA,Médecin,VERGE BRIAN BERNARD,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,VERGE BRIAN BERNARD,13/01/2014,13/01/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,LAGORCE JEAN PAUL,10/07/2013,10/07/2013 - 10/07/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LAGORCE JEAN PAUL,16/12/2013,16/12/2013 - 16/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Pharmacien,MHANNA ALAIN,21/05/2014,21/05/2014 - 21/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
CHIESI SA,Médecin,DABADIE ARNAULD,17/03/2014,17/03/2014 - 17/03/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,LAGORCE JEAN PAUL,28/10/2013,28/10/2013 - 28/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,LAGORCE JEAN PAUL,17/03/2014,17/03/2014 - 17/03/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,VERGE BRIAN BERNARD,28/10/2013,28/10/2013 - 28/10/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,STEVENS JEAN,07/11/2013,07/11/2013 - 07/11/2013,Autre : [ hospitalité ],,
Genzyme,Infirmier,BOUYSSI VERONIQUE,05/02/2014,05/02/2014 - 05/02/2014,Autre : [Opérations Genzyme],,
Genzyme,Infirmier,BOUYSSI VERONIQUE,05/02/2014,05/02/2014 - 05/02/2014,Autre : [Hospitalité Genzyme],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGORCE JEAN PAUL,09/09/2013,09/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGORCE JEAN PAUL,16/06/2014,16/06/2014 - 16/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALSON PHILIPPE,02/12/2013,02/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALSON PHILIPPE,09/09/2013,09/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
